,time,friends_count,lat,long,language
250,07 29 02:35:02 2014,111,-37.94623,145.00941,en
251,07 29 02:36:20 2014,1565,-37.9974319,145.2334306,en
252,07 29 02:36:33 2014,8,-37.82214606,144.95128441,en
253,07 29 02:37:54 2014,873,-37.8698137,144.7313292,en
254,07 29 02:37:59 2014,114,-37.71394592,145.02934514,en
255,07 29 02:38:20 2014,307,-37.79329921,144.89570238,en
256,07 29 02:38:48 2014,800,-37.8130967,144.9538592,en
257,07 29 02:42:19 2014,544,-37.7482943,144.7509562,en
258,07 29 02:43:27 2014,366,-37.84807564,145.00112966,en
259,07 29 02:43:35 2014,1975,-37.70065499,145.19181582,und
260,07 29 02:43:39 2014,344,-37.83294312,145.03353934,en
261,07 29 02:43:46 2014,1556,-37.78898255,145.02667617,en
262,07 29 02:43:47 2014,292,-37.83918186,144.77078403,en
263,07 29 02:45:23 2014,295,-37.8008853,145.0022384,en
264,07 29 02:45:35 2014,145,-37.76938,144.999194,en
265,07 29 02:45:46 2014,71,-37.82477315,145.01187741,en
266,07 29 02:47:08 2014,116,-37.8145965,145.2093681,en
267,07 29 02:47:32 2014,962,-37.85215,144.9998638,en
268,07 29 02:47:47 2014,19,-37.86649223,145.00266415,en
269,07 29 02:48:08 2014,672,-38.1444738,145.1313257,en
270,07 29 02:49:11 2014,1565,-37.9974668,145.2332877,en
271,07 29 02:49:34 2014,778,-37.80990987,144.95162924,en
272,07 29 02:50:20 2014,12,-37.68804811,145.0188415,und
273,07 29 02:50:32 2014,1565,-37.9975024,145.2333286,en
274,07 29 02:52:06 2014,557,-37.8787923,144.6951107,en
275,07 29 02:53:22 2014,341,-37.99898218,145.26458759,en
276,07 29 02:54:59 2014,273,-37.8151811,144.9575443,en
277,07 29 02:55:00 2014,216,-37.88630637,145.08286903,en
278,07 29 02:55:08 2014,89,-37.8865943,145.0430769,hi
279,07 29 02:55:49 2014,225,-37.797355,144.93299,und
280,07 29 02:56:40 2014,44,-37.79934692,144.95605469,en
281,07 29 02:56:42 2014,1993,-37.8138912,144.97184266,en
282,07 29 02:57:53 2014,672,-38.1438069,145.1273104,en
283,07 29 02:59:32 2014,399,-37.80515368,144.96583104,in
284,07 29 03:00:31 2014,70,-37.85729453,144.99230014,th
285,07 29 03:00:39 2014,116,-37.8053059,144.9373323,en
286,07 29 03:00:55 2014,181,-37.82446271,144.9494123,th
287,07 29 03:01:50 2014,98,-37.72003123,144.84922875,en
288,07 29 03:02:42 2014,189,-37.6954027,144.8828677,en
289,07 29 03:03:11 2014,1116,-37.8653225,144.7700374,zh
290,07 29 03:03:55 2014,1427,-37.83834127,144.98674203,en
291,07 29 03:05:41 2014,49,-37.6685439,144.84608525,en
292,07 29 03:05:43 2014,459,-37.81610953,144.95716638,en
293,07 29 03:06:46 2014,76,-37.79661771,144.88845546,ja
294,07 29 03:06:54 2014,376,-37.85667627,144.99866626,en
295,07 29 03:07:26 2014,251,-37.81524916,144.958837,en
296,07 29 03:08:58 2014,307,-37.79349436,144.89827632,en
297,07 29 03:09:07 2014,110,-37.90754668,144.77809994,en
298,07 29 03:09:57 2014,1655,-37.8182348,144.9474733,en
299,07 29 03:10:05 2014,2001,-37.75143697,145.19195336,und
300,07 29 03:10:16 2014,35,-37.81352691,144.96202723,en
301,07 29 03:10:38 2014,563,-37.81610251,144.95718737,en
302,07 29 03:12:09 2014,1655,-37.8171463,144.9462614,en
303,07 29 03:12:52 2014,338,-37.88489375,145.18133878,en
304,07 29 03:13:20 2014,1655,-37.8172267,144.9462595,en
305,07 29 03:13:28 2014,338,-37.88530956,145.18121847,en
306,07 29 03:13:42 2014,1655,-37.8171174,144.946329,en
307,07 29 03:16:37 2014,338,-37.88519672,145.18127373,en
308,07 29 03:17:00 2014,104,-37.69405628,144.87487839,in
309,07 29 03:17:26 2014,1655,-37.8164047,144.9454456,en
310,07 29 03:17:49 2014,1002,-37.78123073,145.01424001,en
311,07 29 03:17:54 2014,24,-37.80903799,144.95211829,en
312,07 29 03:18:40 2014,72,-37.67189862,144.84859458,en
313,07 29 03:18:41 2014,3065,-37.7519712,145.049429,en
314,07 29 03:18:56 2014,248,-37.81424236,144.96314049,en
315,07 29 03:20:10 2014,1022,-37.81780106,144.96608037,in
316,07 29 03:20:24 2014,414,-37.80862,144.96396,tl
317,07 29 03:20:46 2014,2611,-37.90534715,145.34273844,en
318,07 29 03:21:01 2014,2611,-37.90534715,145.34273844,en
319,07 29 03:21:06 2014,2611,-37.90534715,145.34273844,en
320,07 29 03:21:55 2014,2000,-37.80196801,144.97976444,en
321,07 29 03:22:16 2014,21,-37.7911189,144.9211569,en
322,07 29 03:22:41 2014,50,-37.79576801,144.98804052,en
323,07 29 03:23:03 2014,338,-37.88530505,145.1812193,en
324,07 29 03:23:16 2014,98,-37.82168534,144.95571856,pt
325,07 29 03:23:27 2014,149,-37.79757402,144.96445269,en
326,07 29 03:24:31 2014,214,-37.81036386,144.96317334,en
327,07 29 03:24:55 2014,116,-37.77845581,144.94352881,en
328,07 29 03:25:24 2014,160,-37.8148207,145.2702358,en
329,07 29 03:25:39 2014,557,-37.79842859,144.98403403,en
330,07 29 03:26:22 2014,696,-37.96460586,145.15189718,en
331,07 29 03:26:38 2014,1223,-37.80924605,144.97085189,en
332,07 29 03:26:47 2014,552,-37.82249803,145.03434506,en
333,07 29 03:27:26 2014,338,-37.88535207,145.18100219,en
334,07 29 03:28:16 2014,201,-37.81115,144.93867,und
335,07 29 03:29:33 2014,271,-37.84658619,144.99143552,en
336,07 29 03:29:33 2014,44,-37.76119995,144.82099915,en
337,07 29 03:30:13 2014,557,-37.79852338,144.98425265,en
338,07 29 03:30:21 2014,460,-37.81608768,144.95715868,en
339,07 29 03:30:34 2014,1541,-37.84669739,144.99311954,en
340,07 29 03:31:37 2014,1841,-37.81606653,144.95710617,en
341,07 29 03:32:44 2014,1841,-37.81606241,144.95712619,en
342,07 29 03:32:45 2014,366,-37.72092508,145.04849467,en
343,07 29 03:33:21 2014,92,-37.810098,144.976122,en
344,07 29 03:34:20 2014,515,-37.8062752,144.972834,en
345,07 29 03:34:31 2014,258,-37.8468355,144.9485812,en
346,07 29 03:35:40 2014,125,-37.89771132,145.13548196,en
347,07 29 03:35:51 2014,168,-37.6872468,144.8839514,en
348,07 29 03:36:15 2014,221,-38.064799,145.435225,en
349,07 29 03:38:02 2014,1674,-37.87614065,145.1651001,en
350,07 29 03:39:07 2014,565,-37.81613898,144.95723348,en
351,07 29 03:39:56 2014,116,-37.8145893,145.2093628,en
352,07 29 03:42:10 2014,248,-37.79695934,144.96479474,en
353,07 29 03:43:32 2014,266,-37.68243567,144.46022718,en
354,07 29 03:44:00 2014,334,-37.8898126,145.2610005,da
355,07 29 03:44:42 2014,461,-37.81611854,144.95718615,en
356,07 29 03:44:58 2014,266,-37.68242713,144.4601803,en
357,07 29 03:45:08 2014,530,-37.79896,144.96342,en
358,07 29 03:45:24 2014,515,-37.793819,144.9891534,en
359,07 29 03:46:37 2014,334,-37.8898441,145.2609524,en
360,07 29 03:46:42 2014,348,-37.81148767,144.96849149,en
361,07 29 03:47:05 2014,327,-37.86788047,144.65922267,und
362,07 29 03:47:05 2014,675,-37.8119528,144.96708176,en
363,07 29 03:48:31 2014,143,-37.76938918,144.91998655,en
364,07 29 03:48:34 2014,129,-37.7169465,145.0933614,en
365,07 29 03:48:47 2014,319,-37.79880721,145.02903329,und
366,07 29 03:49:00 2014,359,-37.88353604,145.15014174,en
367,07 29 03:49:05 2014,826,-37.86888108,145.24163412,en
368,07 29 03:50:06 2014,2611,-37.90519003,145.34277616,en
369,07 29 03:52:22 2014,327,-37.86798511,144.6591851,und
370,07 29 03:52:33 2014,518,-37.7278357,144.9983457,en
371,07 29 03:53:16 2014,800,-37.8139336,144.9515368,en
372,07 29 03:53:52 2014,360,-37.88359169,145.15015094,en
373,07 29 03:54:35 2014,518,-37.7278156,144.9983255,en
374,07 29 03:57:01 2014,414,-37.81745824,144.95890595,en
375,07 29 04:02:50 2014,1785,-37.80562221,144.95616793,en
376,07 29 04:03:24 2014,2779,-38.1568468,145.1239,en
377,07 29 04:03:55 2014,55,-37.86890924,144.76011167,en
378,07 29 04:04:06 2014,248,-37.80764689,144.96370556,ar
379,07 29 04:05:19 2014,255,-37.58751716,144.72774753,en
380,07 29 04:06:03 2014,7540,-38.04959643,145.35664586,en
381,07 29 04:06:23 2014,7540,-38.04951014,145.356929,en
382,07 29 04:06:28 2014,180,-37.79726205,144.96973374,en
383,07 29 04:06:30 2014,7540,-38.04951014,145.356929,en
384,07 29 04:07:21 2014,581,-37.87431955,145.07659281,en
385,07 29 04:07:26 2014,378,-37.83517555,145.15413969,en
386,07 29 04:08:08 2014,2611,-37.90532267,145.34282377,en
387,07 29 04:08:12 2014,1039,-37.72271432,145.01697575,en
388,07 29 04:08:30 2014,700,-37.8146732,144.9591543,en
389,07 29 04:08:46 2014,258,-37.8172206,144.9494675,en
390,07 29 04:09:01 2014,1039,-37.72284408,145.0166875,en
391,07 29 04:09:13 2014,434,-37.84187851,144.99900787,en
392,07 29 04:09:25 2014,233,-37.77268282,144.95962226,en
393,07 29 04:09:45 2014,44,-37.80817795,144.99160767,en
394,07 29 04:09:48 2014,241,-37.67086783,144.84890427,en
395,07 29 04:10:23 2014,49,-37.81221289,144.96569043,en
396,07 29 04:10:35 2014,937,-37.77603397,145.30544555,en
397,07 29 04:11:05 2014,7540,-38.04946152,145.35675927,en
398,07 29 04:11:31 2014,7540,-38.04942561,145.35688424,en
399,07 29 04:11:32 2014,556,-37.82480591,144.95999398,en
400,07 29 04:12:15 2014,7540,-38.04942829,145.35686622,en
401,07 29 04:12:20 2014,7540,-38.04942829,145.35686622,en
402,07 29 04:12:30 2014,282,-37.8448856,144.6828926,en
403,07 29 04:12:38 2014,83,-37.90593027,145.07476879,th
404,07 29 04:13:11 2014,261,-37.83161866,144.99499767,en
405,07 29 04:14:11 2014,197,-37.79712822,144.99869835,en
406,07 29 04:14:20 2014,140,-37.79892725,144.89281633,en
407,07 29 04:14:30 2014,679,-37.81204373,144.97210657,en
408,07 29 04:14:33 2014,74,-38.15904833,145.1408875,en
409,07 29 04:18:00 2014,83,-37.90588358,145.07469094,th
410,07 29 04:18:20 2014,2611,-37.90569421,145.34295029,en
411,07 29 04:18:45 2014,330,-37.86791587,144.65923321,en
412,07 29 04:20:15 2014,159,-37.70984192,144.86471068,en
413,07 29 04:21:04 2014,280,-37.824276,144.9557156,en
414,07 29 04:22:34 2014,477,-37.7211214,145.0501397,en
415,07 29 04:24:27 2014,7541,-38.04931975,145.35694627,en
416,07 29 04:25:31 2014,873,-37.8697677,144.7309117,en
417,07 29 04:25:57 2014,7541,-38.04933454,145.35707809,en
418,07 29 04:26:00 2014,94,-37.82313197,144.96421738,en
419,07 29 04:26:27 2014,165,-37.63514713,144.98138093,ar
420,07 29 04:26:43 2014,2001,-37.7667,145.1628944,en
421,07 29 04:26:49 2014,700,-37.8146732,144.9591543,en
422,07 29 04:27:50 2014,467,-37.8155315,144.969287,en
423,07 29 04:28:11 2014,467,-37.8155315,144.969287,en
424,07 29 04:28:34 2014,299,-37.8234325,144.9418238,ar
425,07 29 04:29:43 2014,360,-37.88355567,145.15025273,en
426,07 29 04:31:03 2014,5429,-37.85138061,144.72428076,en
427,07 29 04:31:20 2014,358,-37.81189,144.96386,en
428,07 29 04:31:54 2014,32852,-37.8327385,144.9607138,en
429,07 29 04:36:27 2014,177,-37.7758369,144.7609823,en
430,07 29 04:36:34 2014,1509,-37.62649396,144.93855275,und
431,07 29 04:36:46 2014,493,-37.8087199,144.96302495,en
432,07 29 04:37:16 2014,44,-37.82784271,144.83737183,en
433,07 29 04:37:17 2014,1039,-37.7227486,145.01690369,en
434,07 29 04:37:43 2014,178,-37.82002314,144.96571405,en
435,07 29 04:38:09 2014,830,-37.65964357,144.98698311,ar
436,07 29 04:38:12 2014,1154,-37.995297,145.0790575,en
437,07 29 04:38:29 2014,186,-37.79206559,145.06409677,en
438,07 29 04:38:44 2014,3057,-37.823814,144.9593277,en
439,07 29 04:39:27 2014,497,-37.81614239,144.96462485,en
440,07 29 04:41:35 2014,841,-37.78754336,145.06583488,en
441,07 29 04:41:50 2014,1841,-37.81839719,144.96645612,en
442,07 29 04:43:54 2014,187,-37.8050449,144.9658758,zh
443,07 29 04:44:49 2014,53,-37.8899259,144.6213809,en
444,07 29 04:45:41 2014,800,-37.8151645,144.9526086,en
445,07 29 04:45:49 2014,315,-37.8131869,144.9629796,en
446,07 29 04:46:03 2014,35,-37.63673256,144.96707243,ar
447,07 29 04:46:21 2014,830,-37.59892296,144.9395717,fa
448,07 29 04:46:23 2014,493,-37.80870745,144.96301535,en
449,07 29 04:46:58 2014,630,-37.8564622,145.02913159,en
450,07 29 04:47:52 2014,7003,-37.8300877,145.05254526,en
451,07 29 04:48:06 2014,449,-37.8560021,145.1682676,en
452,07 29 04:48:29 2014,189,-37.77567522,144.88847518,en
453,07 29 04:48:34 2014,158,-37.83416548,144.97156196,en
454,07 29 04:48:51 2014,142,-37.80733298,144.97774799,en
455,07 29 04:49:24 2014,579,-37.82852877,144.9963221,en
456,07 29 04:50:11 2014,198,-37.8506945,145.12496697,ar
457,07 29 04:50:20 2014,83,-37.90598653,145.07478139,th
458,07 29 04:50:50 2014,283,-37.67959977,145.43122271,en
459,07 29 04:51:48 2014,64,-37.81486831,144.94163558,en
460,07 29 04:51:55 2014,426,-37.8038247,144.9604315,en
461,07 29 04:53:07 2014,143,-37.84972928,145.09256839,en
462,07 29 04:53:11 2014,102,-37.81817403,144.96444628,en
463,07 29 04:53:32 2014,211,-37.84102238,145.00879935,en
464,07 29 04:54:27 2014,108,-37.8040312,144.97208275,ja
465,07 29 04:54:40 2014,1837,-37.8867253,145.0428811,en
466,07 29 04:54:45 2014,175,-37.83836233,145.06471407,ja
467,07 29 04:55:04 2014,311,-37.79855089,144.96046597,en
468,07 29 04:55:11 2014,494,-37.8095665,144.9705741,zh
469,07 29 04:56:05 2014,1656,-37.8260821,144.9712501,en
470,07 29 04:56:31 2014,2954,-37.8143,144.963,en
471,07 29 04:56:33 2014,175,-37.83245659,145.05796456,ja
472,07 29 04:58:55 2014,1843,-37.77680816,144.95805064,en
473,07 29 04:59:55 2014,129,-37.81134279,144.95742324,tl
474,07 29 05:00:03 2014,29,-37.97638889,145.05,en
475,07 29 05:00:43 2014,338,-37.8158767,144.95325,in
476,07 29 05:01:58 2014,1656,-37.8326588,144.9724923,en
477,07 29 05:02:57 2014,320,-37.84863517,145.11336233,in
478,07 29 05:03:04 2014,210,-37.72106653,145.0483925,en
479,07 29 05:03:05 2014,50,-37.8260551,144.9660886,en
480,07 29 05:03:19 2014,203,-38.20758199,145.23898826,no
481,07 29 05:03:22 2014,360,-37.6530857,144.94478862,en
482,07 29 05:05:31 2014,21,-37.83432752,144.97586297,en
483,07 29 05:05:54 2014,1442,-37.62870577,144.96558364,ar
484,07 29 05:05:57 2014,619,-37.88709576,145.08668924,en
485,07 29 05:06:06 2014,598,-37.82338893,144.96038409,en
486,07 29 05:06:10 2014,163,-37.86407933,144.9823256,en
487,07 29 05:06:35 2014,200,-37.73389624,144.73936899,en
488,07 29 05:07:30 2014,283,-37.67961291,145.43122546,en
489,07 29 05:08:56 2014,143,-37.84988133,145.09248968,en
490,07 29 05:09:48 2014,758,-37.77033466,144.91759114,en
491,07 29 05:10:07 2014,283,-37.67958783,145.43120506,en
492,07 29 05:10:59 2014,284,-37.81730089,144.95269039,en
493,07 29 05:11:40 2014,1656,-37.8476133,144.9786625,en
494,07 29 05:11:42 2014,332,-37.91166849,145.01709471,en
495,07 29 05:11:46 2014,238,-37.82043279,144.95773367,pt
496,07 29 05:13:38 2014,338,-37.88504379,145.18132964,en
497,07 29 05:13:47 2014,99,-37.81308,144.97773,und
498,07 29 05:14:31 2014,68,-37.90295022,145.19770822,en
499,07 29 05:15:03 2014,399,-37.7864026,144.9467633,in
